Region,Product,Sales,Profit
West,A,472,58.07
East,A,256,111.67
South,B,410,46.65
West,B,395,166.48
West,B,50,11.91
North,B,460,163.93
East,C,220,27.56
North,A,170,53.7
South,B,246,115.6
West,A,83,26.1
North,C,373,140.52
West,C,116,12.17
East,A,263,35.38
North,A,107,26.62
East,A,239,36.25
South,A,321,124.73
West,B,340,67.54
West,B,252,53.35
West,B,340,101.08
East,C,342,138.12
East,B,210,33.51
West,B,456,138.56
West,C,295,57.62
East,C,68,27.3
South,B,192,75.74
West,C,112,49.7
South,B,345,65.47
East,B,77,32.29
West,B,368,93.02
West,A,291,62.77
West,A,407,123.08
East,C,444,44.44
West,B,215,34.12
West,A,66,14.87
South,B,75,30.6
West,A,122,58.14
West,B,254,57.65
West,B,456,117.42
East,B,455,220.91
South,A,466,226.65
East,C,220,60.86
South,C,335,116.85
North,C,109,40.45
South,A,397,110.98
East,C,316,84.05
East,B,334,76.69
South,A,99,18.84
South,B,180,56.05
North,A,390,43.26
West,C,348,164.01
South,A,216,100.93
North,B,355,168.73
East,B,344,55.14
East,B,382,92.21
North,A,271,123.72
West,A,414,85.76
South,C,60,12.73
East,A,297,93.12
West,B,343,78.42
North,C,235,50.4
West,C,332,89.25
South,C,236,117.64
North,A,171,60.13
South,B,180,70.73
North,A,124,56.77
North,C,146,65.7
North,A,468,85.21
South,C,126,47.95
West,A,53,19.25
East,C,115,13.4
South,C,362,151.41
South,A,116,48.44
South,A,237,56.64
South,B,52,20.09
West,B,321,117.71
East,B,485,63.45
North,C,395,193.27
South,A,489,106.13
North,B,390,103.02
West,A,145,63.37
South,A,395,57.26
East,A,492,103.04
West,A,297,93.29
South,C,386,108.0
South,A,318,118.65
South,C,476,109.4
South,C,336,49.12
North,B,74,14.68
West,A,301,32.79
East,A,238,108.73
South,A,333,136.19
East,A,463,82.43
South,A,172,43.93
West,B,302,138.35
East,B,78,19.08
North,C,107,36.88
North,C,170,72.86
South,C,124,50.52
North,B,141,45.66
West,A,149,61.46
West,B,260,37.67
West,C,185,78.45
East,C,373,126.33
East,B,129,54.93
South,B,364,119.34
East,A,468,164.59
South,C,496,56.76
North,C,462,132.18
East,A,219,38.38
West,A,249,39.6
East,C,309,103.72
South,A,111,29.04
East,C,68,8.3
East,B,59,11.17
East,C,235,26.44
West,B,140,16.87
West,B,99,41.39
South,C,300,65.22
West,C,182,85.82
West,C,317,86.87
West,B,337,144.4
West,C,294,45.33
South,B,219,22.83
East,A,355,70.4
South,C,467,146.66
West,C,123,33.36
North,A,128,30.29
East,C,101,15.58
East,B,422,177.5
South,B,125,51.29
East,C,271,82.48
North,B,137,39.09
West,B,171,84.26
North,A,395,110.47
East,A,120,36.73
East,A,90,20.16
East,B,154,44.61
South,A,298,60.49
South,B,222,99.08
North,B,325,110.13
East,B,213,62.92
North,C,334,140.56
West,B,465,226.78
West,A,464,152.33
East,C,428,83.97
South,C,114,13.91
North,C,344,129.01
South,B,338,117.9
South,C,295,53.44
North,C,292,106.21
North,A,288,128.2
West,B,159,68.21
South,B,219,55.61
East,B,312,71.42
South,C,287,120.61
West,C,496,227.49
East,A,431,63.65
South,B,170,58.02
South,C,88,21.41
West,B,169,59.93
North,B,407,42.24
North,B,85,28.61
East,A,335,38.3
East,A,223,57.07
West,B,282,44.87
West,A,439,134.05
North,C,103,50.0
North,B,127,36.9
East,B,106,21.4
South,B,394,110.01
South,A,175,49.02
South,B,166,30.36
West,A,55,9.7
North,A,392,120.4
South,A,73,31.1
North,B,94,46.88
East,A,251,31.82
East,A,410,187.94
North,B,495,69.57
West,A,326,65.48
South,A,51,21.6
West,A,141,34.44
South,A,57,17.25
South,B,90,10.17
West,C,469,208.35
East,A,307,48.93
South,B,88,39.98
West,B,97,43.48
North,B,360,48.94
East,B,469,224.38
West,A,136,25.23
South,A,423,51.34
North,B,258,124.04
West,B,460,53.99
North,C,205,83.61
West,A,364,42.21
North,C,342,48.35
North,B,449,106.21
West,A,349,167.49
South,B,273,74.04
West,C,165,20.25
West,C,446,128.88
West,C,108,28.59
North,B,197,64.56
East,A,466,175.06
North,C,190,51.94
North,A,59,21.34
West,B,195,50.57
East,A,487,74.39
South,C,278,76.39
South,B,476,71.8
East,A,98,12.75
North,B,201,36.98
West,A,298,119.29
East,B,434,71.98
South,B,427,201.48
East,C,70,14.49
West,A,211,54.69
East,A,105,32.55
North,C,345,99.37
West,A,200,96.81
North,B,317,90.02
North,B,274,81.97
East,C,75,31.11
North,B,483,214.02
East,B,415,76.66
West,A,248,69.32
East,B,403,173.12
West,C,181,84.56
East,A,300,129.86
East,B,191,79.91
East,A,192,83.76
North,C,221,99.07
West,B,111,18.69
East,A,488,143.88
North,C,62,21.73
East,C,204,30.26
North,A,446,133.24
West,C,353,158.96
North,B,103,26.91
South,B,239,73.85
North,A,423,155.6
South,C,413,51.92
East,B,156,35.51
South,C,352,80.67
West,B,234,67.86
South,C,248,41.82
North,A,224,62.38
West,A,254,73.41
East,C,292,71.96
South,C,92,21.19
North,A,358,49.79
West,C,83,34.07
North,A,291,81.23
North,B,496,204.82
East,A,222,38.44
South,C,352,160.04
South,A,185,51.2
West,B,171,68.22
East,B,66,23.69
North,B,473,127.67
West,C,254,37.62
East,B,196,30.43
West,B,415,128.69
West,A,338,76.9
West,C,491,137.93
South,B,278,90.17
West,B,61,15.06
East,B,478,104.78
West,A,361,175.68
North,B,226,77.16
North,B,75,10.88
South,C,115,53.84
West,B,311,105.15
South,C,224,109.55
South,B,267,32.89
South,C,359,162.59
South,A,456,202.36
South,C,346,48.13
South,B,423,114.12
West,B,341,165.42
East,C,304,93.6
North,C,393,75.98
South,A,379,183.69
South,B,173,56.3
East,B,296,90.8
South,A,494,143.32
South,C,214,45.2
North,A,376,74.2
South,B,76,25.33
South,A,210,100.72
East,A,475,235.66
South,B,130,35.09
East,B,354,54.97
South,C,426,77.42
West,C,381,79.72
West,C,289,110.74
West,B,193,88.28
North,C,149,62.03
East,A,414,122.98
West,C,299,63.74
West,B,304,57.33
South,C,276,108.26
East,A,143,48.93
North,A,313,31.31
West,C,425,175.12
West,A,51,20.24
South,B,289,61.48
South,C,150,16.29
East,A,458,67.49
North,A,428,154.66
East,A,377,91.34
West,B,213,81.97
South,A,245,56.07
South,C,325,42.22
North,A,364,71.18
South,C,348,158.75
South,C,361,74.13
North,C,224,95.01
East,C,117,53.83
North,A,432,132.69
North,A,458,163.12
North,A,307,108.53
South,C,334,48.22
West,C,193,50.98
South,B,428,42.98
North,B,176,18.2
East,C,185,20.7
North,C,308,141.18
North,C,442,131.73
East,B,463,132.63
South,C,154,71.87
South,B,330,39.74
South,A,437,187.02
West,A,161,24.87
South,A,426,148.49
West,C,174,18.8
East,C,60,17.81
North,A,54,26.53
North,A,357,154.14
East,C,365,144.06
East,C,428,111.17
West,C,125,23.86
West,A,419,110.1
East,A,404,59.79
East,A,108,12.01
North,C,333,61.29
West,C,295,126.47
South,B,266,65.22
East,C,339,97.48
East,A,341,148.67
South,A,85,11.77
South,B,281,69.57
West,C,316,85.66
North,C,496,145.4
North,A,479,96.03
West,C,281,61.23
South,A,208,63.13
East,A,344,93.23
North,B,434,130.52
South,B,207,47.73
South,B,172,31.26
West,B,335,82.04
West,A,144,61.03
East,C,167,49.68
South,A,303,73.07
North,C,326,37.15
North,B,108,25.83
North,C,77,18.06
North,A,428,69.98
East,C,251,49.62
West,A,360,98.79
West,C,250,95.52
North,B,359,178.38
West,B,325,157.0
South,A,182,71.23
West,A,101,29.32
East,B,422,67.92
East,C,436,72.9
West,C,427,128.97
North,B,89,29.01
South,C,73,25.17
North,C,276,108.48
East,C,385,97.02
West,A,85,16.54
North,A,453,80.78
West,A,258,117.5
West,C,207,77.08
North,C,274,57.3
West,B,134,28.02
East,C,169,56.74
West,C,425,147.98
South,B,270,59.05
North,C,170,52.82
North,A,382,93.96
West,A,454,212.6
South,A,77,15.48
South,C,408,184.71
West,C,471,97.23
North,C,243,57.82
South,B,485,126.58
East,C,130,13.55
West,B,301,120.54
South,A,420,200.17
South,C,185,68.87
South,B,225,63.54
North,C,244,37.36
North,A,366,66.5
West,C,228,101.28
West,B,69,25.52
West,A,90,12.94
East,B,152,55.47
East,C,207,36.09
North,B,162,28.39
West,C,399,182.72
West,A,500,164.31
North,A,234,81.51
West,B,249,70.01
East,C,404,124.18
North,A,263,59.86
West,C,391,52.42
North,A,272,39.18
West,A,202,85.24
South,A,256,69.66
South,C,188,52.42
South,A,66,21.31
South,C,85,40.49
North,A,281,89.01
East,A,445,162.99
East,C,343,143.0
East,A,90,38.39
South,A,257,94.02
South,A,213,46.08
South,A,108,32.02
North,C,208,54.54
East,A,399,152.44
South,C,299,113.53
East,B,67,11.07
West,C,233,93.1
West,B,463,64.51
West,C,82,18.19
East,B,208,89.18
South,B,82,36.36
West,A,99,14.61
East,A,433,163.71
North,B,443,180.39
North,A,495,200.46
North,B,257,124.7
West,C,214,46.94
South,A,408,195.52
East,C,129,13.46
East,A,56,27.88
West,A,159,54.92
South,A,174,82.46
West,A,289,78.99
North,B,259,45.76
West,B,461,69.24
West,C,365,64.67
West,C,212,59.71
West,A,117,22.63
West,B,388,140.56
West,C,169,54.44
South,B,190,59.9
East,A,390,113.87
North,B,468,108.25
West,B,314,144.4
East,C,114,45.45
East,A,74,36.22
South,A,103,14.35
East,B,441,183.63
West,B,66,12.02
West,A,451,111.16
West,C,253,42.02
North,B,102,37.02
North,B,275,77.91
North,A,81,36.46
West,A,124,47.36
South,B,343,39.09
North,B,298,99.68
North,C,456,153.77
South,C,103,29.96
North,A,486,150.39
South,A,486,81.91
East,A,481,202.74
North,C,441,130.27
North,A,104,32.41
East,A,435,211.95
West,B,250,55.44
South,A,289,29.16
East,C,173,25.76
West,C,397,107.03
West,C,469,91.53
West,B,66,25.45
East,A,127,60.55
South,A,488,120.61
West,C,110,21.85
South,B,229,96.43
East,C,100,22.39
North,B,437,114.87
South,C,319,75.73
East,A,80,22.21
South,B,476,234.54
West,A,62,16.06
North,C,416,194.42
North,C,440,118.29
East,A,181,40.04
West,B,386,79.07
South,C,201,74.14
North,C,437,143.53
South,B,193,50.97
North,A,450,91.73
West,B,466,204.33
West,A,493,242.61
West,C,178,29.29
West,C,100,45.65
West,C,148,34.56
South,B,102,13.09
West,B,335,35.85
East,B,65,24.36
North,C,468,218.4
North,A,390,54.36
South,C,157,72.49
North,A,85,10.37
South,B,440,214.05
North,A,184,53.96
West,A,255,86.41
South,A,334,107.07
North,C,270,36.82
North,A,124,56.44
East,A,342,120.41
East,A,186,59.87
East,A,78,13.04
South,A,427,133.12
South,C,146,51.97
South,A,127,50.46
South,C,232,42.01
North,B,438,159.79
East,C,350,45.45
North,A,335,149.42
East,B,299,123.93
East,A,377,90.01
South,C,250,45.93
West,A,67,8.38
North,C,373,69.69
West,B,390,84.16
North,B,132,37.36
East,A,218,25.81
North,C,284,65.19
North,A,286,108.97
East,C,441,155.7
East,A,76,32.94
West,B,297,127.21
South,B,231,107.44
South,B,202,86.03
West,A,94,37.26
North,A,116,15.42
East,C,198,25.88
East,A,189,90.37
South,C,50,10.55
West,A,431,164.74
South,C,285,86.1
South,B,453,191.13
West,A,354,134.93
South,C,328,87.08
East,B,287,80.05
North,A,138,26.62
North,A,472,147.84
West,B,457,146.44
East,B,283,80.22
South,B,429,66.29
South,C,138,25.62
East,B,87,13.92
East,A,329,146.3
West,C,280,96.61
North,B,92,12.99
South,B,116,16.1
South,C,246,53.98
East,A,165,27.36
West,B,319,105.07
East,A,251,46.52
South,C,98,30.35
North,B,134,51.59
West,A,379,98.65
South,C,242,31.61
South,C,466,60.73
East,B,469,54.65
East,C,254,69.15
South,C,305,84.7
West,C,167,24.91
West,A,437,173.74
West,A,364,151.17
West,A,342,142.51
North,C,326,37.22
West,A,404,123.26
South,C,192,36.8
West,A,386,58.58
East,A,365,84.42
North,B,270,125.19
East,A,170,18.22
West,A,250,82.46
West,C,127,57.86
North,A,390,50.09
West,A,180,81.72
North,B,87,16.48
West,C,355,82.22
North,A,323,132.24
East,C,244,120.36
North,A,234,46.27
East,B,388,134.23
North,C,215,52.89
West,C,172,60.38
North,A,311,150.76
West,C,471,132.37
East,B,262,116.52
North,A,57,13.55
East,A,310,142.43
South,C,214,46.72
South,A,278,135.77
North,C,209,36.77
North,B,338,146.69
North,B,349,131.65
West,A,327,158.18
West,A,205,29.04
West,B,369,52.81
East,A,233,24.3
South,A,228,100.75
East,A,472,131.11
East,C,217,100.82
East,C,387,97.15
West,B,378,52.86
West,C,489,67.56
West,A,392,125.32
East,A,187,79.84
South,A,439,204.99
North,C,252,77.06
North,B,325,145.03
North,C,298,114.63
North,C,202,56.63
North,B,109,33.53
West,A,478,212.56
South,A,108,49.49
North,B,282,64.97
South,C,95,13.13
West,B,436,56.92
South,C,334,143.17
South,B,496,153.87
West,A,98,22.98
West,B,256,72.83
West,B,241,67.76
South,A,254,54.99
North,B,119,11.94
West,B,253,105.2
North,A,320,98.13
North,C,228,55.13
North,B,320,125.3
North,A,61,8.18
South,C,52,5.44
North,A,457,121.56
South,C,369,55.43
West,A,394,63.02
South,A,448,109.31
West,B,168,80.94
West,B,50,11.62
East,C,214,74.79
North,A,170,72.38
South,A,312,41.38
South,A,356,104.73
North,A,263,52.95
West,C,331,57.56
East,B,497,65.76
North,C,405,147.48
West,C,187,43.15
North,C,476,211.09
North,A,183,88.63
North,A,331,108.73
North,C,268,74.3
West,A,380,63.28
South,C,482,145.79
East,C,130,15.97
North,B,352,129.28
South,B,141,65.46
South,A,474,50.84
East,B,433,121.86
South,C,137,51.9
North,A,70,12.67
West,C,320,50.73
North,C,453,92.47
East,B,52,17.99
West,A,180,53.7
South,B,169,83.55
North,B,233,43.31
North,C,74,34.94
West,B,360,108.77
East,C,68,20.58
East,B,113,33.11
East,C,275,102.19
North,C,498,72.34
South,A,313,44.1
East,A,63,28.81
South,B,490,128.14
West,C,324,74.92
West,A,72,16.0
East,A,468,158.27
North,A,304,134.62
East,A,211,82.54
West,A,122,20.15
South,B,448,71.16
North,B,137,63.61
West,B,269,122.79
South,A,271,40.68
West,B,93,17.02
West,A,462,104.43
East,B,256,91.68
West,C,397,136.1
West,B,113,18.5
East,C,484,69.06
East,B,354,136.84
West,B,176,26.25
South,A,489,173.36
East,B,425,54.25
East,A,87,30.7
South,C,277,103.91
North,A,299,58.07
South,C,161,30.42
South,C,389,44.25
East,C,317,81.6
South,C,69,24.64
North,A,116,31.73
South,B,374,155.48
East,A,379,79.01
West,C,328,153.59
North,B,152,29.08
North,B,358,88.03
West,A,205,22.27
East,C,476,104.81
West,B,257,108.99
North,A,391,84.17
North,C,142,32.69
West,A,425,77.36
East,C,322,99.12
West,A,320,40.9
East,B,237,116.32
North,C,202,54.73
West,C,356,170.58
East,A,310,88.01
West,B,143,31.86
West,C,158,67.71
South,A,319,55.01
West,A,267,56.67
South,B,375,39.55
West,B,202,36.31
South,B,388,48.23
South,A,87,9.7
South,A,286,114.16
West,A,156,71.72
South,A,339,37.4
West,C,275,50.44
West,A,346,172.3
West,C,165,25.07
West,B,287,84.45
North,C,151,71.7
South,B,476,85.47
West,C,62,6.85
North,B,248,108.82
West,A,376,60.49
North,C,94,40.4
North,A,454,179.29
North,C,111,42.37
South,A,54,9.16
North,C,225,33.75
North,C,258,128.18
West,A,465,152.33
East,C,191,86.35
East,B,362,118.23
North,B,311,100.9
South,A,457,184.13
North,C,107,24.78
East,C,270,38.04
South,C,333,119.08
South,B,101,43.16
East,B,277,52.81
North,C,66,8.76
South,C,409,129.81
South,B,152,19.99
West,B,121,57.78
South,A,156,60.95
North,C,65,26.82
East,C,432,108.72
South,C,178,67.41
North,C,154,35.73
North,B,421,42.8
West,A,279,77.59
North,B,279,58.46
North,C,83,40.53
East,C,404,97.37
West,B,416,171.9
South,C,102,37.6
East,A,203,73.82
South,C,306,48.76
North,A,68,24.55
South,B,79,23.59
South,A,414,88.34
West,A,158,73.46
East,C,301,126.1
East,B,261,88.76
West,C,338,102.09
South,B,343,47.85
North,A,426,88.73
South,B,311,39.68
North,B,280,104.44
West,B,265,106.38
North,B,216,48.84
West,A,74,13.05
West,B,76,7.98
East,B,322,80.97
East,A,491,51.08
North,C,470,52.49
North,B,114,50.1
West,A,172,83.7
North,C,175,20.49
West,B,251,108.88
North,A,127,37.52
West,B,391,144.35
North,C,206,66.14
South,C,104,46.7
North,A,472,67.91
East,A,231,53.09
West,A,372,42.77
West,B,337,78.9
South,B,179,76.66
West,C,443,213.79
South,B,289,75.71
West,B,425,130.24
West,C,227,75.26
East,B,308,48.78
South,A,205,69.17
East,A,333,146.91
South,A,208,94.75
West,B,204,96.26
South,A,127,36.89
North,C,188,40.69
North,B,185,78.45
West,A,77,34.5
West,C,243,88.75
East,A,296,118.31
West,A,309,116.78
North,C,273,134.79
East,B,359,66.14
West,B,313,100.3
West,A,72,30.3
South,C,388,131.18
East,C,125,47.74
West,A,129,25.94
South,A,490,89.34
North,C,372,73.55
North,B,280,53.18
West,C,123,41.12
East,A,234,109.47
North,A,107,11.9
North,C,470,105.75
South,B,283,59.02
South,B,63,20.89
North,B,381,44.13
East,B,310,104.79
East,B,116,25.22
North,B,445,164.13
East,A,77,14.32
West,A,267,42.77
West,B,216,29.0
West,C,198,42.98
West,B,276,95.03
East,A,182,52.66
East,C,333,49.28
North,B,162,18.23
East,C,241,66.27
South,A,485,140.03
West,A,457,48.7
North,A,469,158.48
East,B,395,107.85
East,B,231,52.76
North,B,195,45.56
North,A,88,20.08
West,C,271,52.08
North,B,216,51.62
West,C,390,139.74
South,A,98,21.6
East,C,51,17.6
South,C,342,86.72
West,A,244,34.5
East,B,190,93.54
North,A,154,15.42
East,A,239,35.48
East,C,451,73.57
South,C,482,224.05
North,A,170,24.58
East,A,286,107.26
South,A,196,47.98
East,A,254,70.56
East,A,480,190.38
North,C,434,216.37
West,C,431,191.09
East,A,496,219.47
South,B,298,77.02
North,B,317,62.42
South,B,480,104.84
East,B,311,135.91
North,C,484,171.67
South,C,363,68.98
North,C,182,74.5
West,A,106,20.53
West,C,305,114.11
East,C,295,98.36
East,B,144,15.28
East,C,90,36.7
West,A,152,66.83
South,B,59,16.72
East,A,218,91.49
South,C,474,70.95
North,A,244,50.07
East,A,255,43.97
East,A,428,87.59
East,A,467,127.42
East,A,458,218.29
East,B,312,109.64
South,C,497,237.87
East,C,496,73.01
North,B,193,44.07
East,B,383,143.95
North,C,101,15.66
South,C,126,49.93
North,A,376,41.29
West,C,233,34.84
East,B,263,63.93
West,C,190,63.74
South,C,166,33.72
South,B,309,36.78
South,A,133,50.65
South,A,96,37.46
East,A,370,70.89
South,C,308,91.34
East,C,234,34.36
North,B,167,43.76
North,B,453,95.46
South,A,86,33.27
South,C,335,71.91
West,B,361,99.57
North,C,267,84.15
South,B,257,39.53
North,B,277,58.38
West,A,62,7.99
West,B,456,59.53
East,C,173,68.38
South,C,169,20.85
West,C,73,36.06
South,A,290,136.23
South,B,52,22.04
West,A,78,29.12
North,A,485,173.43
East,A,320,83.51
West,C,66,26.87
South,C,486,77.73
North,A,358,107.78
East,B,148,30.42
East,C,359,86.45
South,B,186,73.28
South,C,259,123.96
North,C,299,95.74
East,B,484,162.08
North,C,444,86.97
North,C,379,163.0
North,C,337,127.06
South,C,204,101.56
West,B,416,74.42
North,B,375,155.62
North,B,483,146.74
East,C,162,18.45
West,C,301,121.53
East,B,437,189.43
East,B,140,62.76
South,C,497,54.5
West,A,411,54.11
East,C,456,64.27
East,A,500,96.98
South,B,449,218.41
East,B,159,71.41
East,C,370,58.56
South,B,246,50.34
South,A,290,111.91
North,A,373,182.9
East,B,399,67.88
West,B,85,15.53
East,B,153,36.15
West,C,414,63.5
West,B,482,170.35
South,C,81,16.28
West,B,437,156.22
South,B,435,211.82
West,B,284,58.2
North,C,237,56.23
West,A,303,140.5
West,C,146,66.32
West,C,294,93.06
East,B,314,54.72
North,A,287,33.39
South,B,194,33.79
East,B,336,38.87
North,C,442,170.91
North,B,132,17.15
West,B,121,33.54
West,B,382,60.22
East,C,349,102.14
East,C,72,16.11
West,A,423,151.47
South,A,322,93.59
North,A,116,56.08
West,B,265,88.19
North,A,207,70.64
South,C,311,79.99
North,C,258,105.74
North,B,246,78.6
