Region,Product,Sales,Profit,Profit Margin
West,A,408,203.8,0.49950980392156863
East,C,465,93.2,0.20043010752688173
South,B,452,75.93,0.16798672566371683
East,B,248,83.4,0.3362903225806452
South,B,341,118.15,0.3464809384164223
West,B,128,34.7,0.27109375
West,A,299,53.85,0.18010033444816054
North,C,468,132.95,0.28408119658119657
South,A,474,236.01,0.49791139240506327
North,C,433,167.62,0.3871131639722864
North,B,487,93.25,0.19147843942505133
East,B,466,117.69,0.25255364806866953
East,C,329,46.01,0.1398480243161094
West,B,161,66.04,0.41018633540372673
West,A,398,82.21,0.2065577889447236
West,A,390,142.19,0.3645897435897436
North,C,323,46.05,0.14256965944272446
North,A,222,77.11,0.34734234234234235
West,C,305,110.48,0.36222950819672134
South,B,146,20.4,0.13972602739726026
South,A,175,61.89,0.35365714285714284
North,B,64,28.99,0.45296875
North,A,380,71.9,0.1892105263157895
South,A,221,78.73,0.35624434389140275
West,B,192,29.05,0.15130208333333334
East,B,444,69.41,0.15632882882882881
South,C,408,131.77,0.32296568627450983
West,A,336,89.44,0.2661904761904762
West,C,470,229.81,0.48895744680851067
South,B,477,147.94,0.310146750524109
South,C,441,80.4,0.18231292517006803
East,C,113,24.15,0.21371681415929203
South,A,357,65.71,0.18406162464985992
East,A,440,117.77,0.2676590909090909
North,A,438,154.44,0.3526027397260274
South,C,162,61.95,0.3824074074074074
West,B,367,71.38,0.1944959128065395
West,C,86,23.58,0.27418604651162787
North,A,206,70.77,0.3435436893203883
West,A,306,72.79,0.23787581699346408
South,C,138,57.15,0.4141304347826087
South,A,477,139.23,0.29188679245283017
South,A,401,135.46,0.3378054862842893
East,A,338,147.92,0.4376331360946745
South,C,125,25.38,0.20304
South,B,154,39.06,0.25363636363636366
South,C,445,146.18,0.32849438202247194
East,B,430,61.87,0.14388372093023255
South,A,204,65.77,0.3224019607843137
West,C,59,10.49,0.17779661016949153
South,C,487,212.21,0.4357494866529774
North,C,461,142.85,0.3098698481561822
South,B,254,112.92,0.44456692913385826
West,B,383,73.21,0.19114882506527414
North,A,393,179.62,0.45704834605597966
West,C,452,57.86,0.12800884955752212
West,A,55,7.52,0.13672727272727273
East,C,80,17.52,0.219
South,C,410,77.08,0.188
East,C,214,93.34,0.43616822429906543
West,C,439,211.63,0.4820728929384966
North,B,266,66.61,0.2504135338345865
East,C,182,88.55,0.48653846153846153
East,A,412,197.06,0.4783009708737864
East,C,164,61.43,0.3745731707317073
East,A,73,28.86,0.39534246575342463
West,B,111,27.89,0.25126126126126125
South,B,160,24.22,0.15137499999999998
South,A,145,72.34,0.49889655172413794
North,B,280,95.56,0.3412857142857143
East,C,146,55.09,0.37732876712328767
East,B,172,50.69,0.2947093023255814
North,C,429,129.74,0.30242424242424243
West,A,85,22.51,0.26482352941176474
North,C,494,209.99,0.42508097165991904
East,A,365,71.73,0.1965205479452055
South,C,365,182.35,0.4995890410958904
South,B,274,128.47,0.4688686131386861
South,B,114,21.73,0.1906140350877193
West,B,119,37.1,0.31176470588235294
East,B,140,23.02,0.16442857142857142
South,C,128,54.96,0.429375
East,A,241,83.03,0.3445228215767635
West,A,259,80.38,0.3103474903474903
North,B,457,94.68,0.20717724288840264
West,A,101,19.84,0.19643564356435644
South,B,370,183.57,0.49613513513513513
East,B,306,133.36,0.43581699346405234
North,B,94,42.44,0.4514893617021276
East,A,212,38.88,0.18339622641509434
East,C,109,27.04,0.24807339449541282
East,B,96,10.95,0.1140625
East,C,325,126.68,0.3897846153846154
East,C,182,71.43,0.39247252747252753
North,A,55,22.02,0.40036363636363637
South,B,251,62.7,0.24980079681274903
North,C,182,36.92,0.20285714285714287
West,B,61,13.62,0.22327868852459015
South,C,265,59.5,0.22452830188679246
East,B,384,172.73,0.4498177083333333
East,A,349,62.62,0.1794269340974212
North,B,438,60.25,0.1375570776255708
West,A,100,40.41,0.40409999999999996
West,C,404,125.0,0.3094059405940594
North,B,145,40.03,0.27606896551724136
East,A,303,144.52,0.476963696369637
South,A,185,91.76,0.49600000000000005
West,B,464,193.96,0.41801724137931034
West,A,391,93.28,0.23856777493606138
East,C,230,87.27,0.3794347826086956
South,C,324,54.05,0.166820987654321
North,B,270,56.25,0.20833333333333334
East,C,164,59.79,0.3645731707317073
East,A,196,87.03,0.444030612244898
West,A,74,15.98,0.21594594594594596
North,A,192,59.08,0.3077083333333333
South,A,347,120.89,0.34838616714697407
East,B,297,109.49,0.3686531986531986
South,C,459,161.06,0.35089324618736384
North,C,409,50.47,0.12339853300733496
South,C,104,14.2,0.13653846153846153
West,C,290,29.73,0.10251724137931034
South,C,343,62.29,0.18160349854227406
South,C,454,210.81,0.46433920704845816
North,C,99,45.97,0.46434343434343434
East,A,138,46.71,0.33847826086956523
North,A,248,115.53,0.4658467741935484
South,C,360,136.14,0.37816666666666665
South,C,149,41.56,0.2789261744966443
North,A,193,89.88,0.4656994818652849
South,A,202,35.31,0.17480198019801982
North,A,305,135.68,0.4448524590163935
East,A,199,28.35,0.14246231155778896
South,C,396,126.94,0.32055555555555554
East,A,282,31.54,0.11184397163120567
North,A,376,147.52,0.3923404255319149
East,B,233,57.47,0.24665236051502146
West,B,117,48.27,0.4125641025641026
North,B,126,35.27,0.27992063492063496
North,C,211,82.5,0.3909952606635071
North,B,143,54.9,0.3839160839160839
South,C,205,29.44,0.143609756097561
South,B,336,152.4,0.45357142857142857
East,A,463,119.55,0.258207343412527
South,A,360,36.55,0.10152777777777777
North,C,215,28.8,0.13395348837209303
West,A,95,34.41,0.3622105263157894
East,A,473,166.34,0.3516701902748414
West,A,104,10.91,0.10490384615384615
West,C,437,127.79,0.2924256292906179
East,B,414,41.5,0.10024154589371981
West,A,114,25.94,0.22754385964912283
North,C,170,84.15,0.49500000000000005
West,A,466,170.86,0.3666523605150215
North,B,442,97.08,0.21963800904977376
East,A,174,67.4,0.3873563218390805
North,B,470,187.66,0.39927659574468083
North,B,283,136.32,0.4816961130742049
West,B,196,37.23,0.1899489795918367
West,A,376,166.32,0.4423404255319149
North,B,353,135.97,0.3851841359773371
West,C,204,84.61,0.4147549019607843
South,A,55,8.26,0.15018181818181817
East,B,216,44.48,0.2059259259259259
East,A,70,25.92,0.37028571428571433
West,B,396,124.17,0.31356060606060604
West,A,495,153.24,0.3095757575757576
North,A,327,145.09,0.44370030581039754
North,A,159,55.68,0.350188679245283
South,B,350,40.62,0.11605714285714284
South,C,231,33.41,0.1446320346320346
North,A,492,181.37,0.36863821138211383
West,A,443,186.8,0.4216704288939052
West,C,460,151.29,0.3288913043478261
West,B,384,128.19,0.333828125
South,A,491,195.77,0.39871690427698575
North,C,248,29.19,0.11770161290322581
East,C,333,68.87,0.20681681681681682
West,A,239,72.13,0.3017991631799163
North,B,136,45.79,0.3366911764705882
East,A,180,24.81,0.13783333333333334
North,B,171,34.98,0.20456140350877192
North,A,331,60.05,0.18141993957703928
West,C,209,98.94,0.47339712918660287
East,C,256,124.11,0.4848046875
East,C,439,81.82,0.186378132118451
South,A,445,57.0,0.12808988764044943
West,C,286,37.46,0.13097902097902098
South,A,235,101.31,0.4311063829787234
West,A,218,105.12,0.4822018348623853
South,B,390,166.9,0.42794871794871797
East,A,145,68.31,0.4711034482758621
North,B,380,148.59,0.39102631578947367
East,C,392,191.3,0.4880102040816327
North,A,294,75.44,0.2565986394557823
North,C,205,70.38,0.3433170731707317
West,A,92,15.64,0.17
West,A,165,64.74,0.39236363636363636
East,B,310,82.0,0.2645161290322581
South,A,347,102.56,0.2955619596541787
North,C,256,62.81,0.2453515625
South,A,352,151.65,0.43082386363636366
West,C,306,132.9,0.4343137254901961
East,A,474,98.04,0.2068354430379747
East,B,332,144.47,0.43515060240963854
North,A,104,24.32,0.23384615384615384
North,B,93,27.39,0.29451612903225804
West,B,419,153.22,0.3656801909307876
West,C,148,35.99,0.2431756756756757
South,B,344,78.97,0.22956395348837208
East,C,295,138.58,0.4697627118644068
West,B,356,171.87,0.4827808988764045
North,C,102,24.56,0.2407843137254902
North,B,156,24.75,0.15865384615384615
South,B,357,60.23,0.16871148459383753
North,B,309,43.37,0.14035598705501617
East,B,114,29.98,0.2629824561403509
South,B,477,226.98,0.4758490566037736
West,A,136,67.05,0.4930147058823529
East,B,290,49.94,0.17220689655172414
South,B,359,136.43,0.38002785515320336
South,B,370,142.67,0.38559459459459455
East,B,109,11.49,0.10541284403669725
South,C,156,61.94,0.39705128205128204
West,C,409,199.01,0.4865770171149144
North,C,111,24.04,0.21657657657657656
South,A,53,15.19,0.28660377358490563
South,B,364,72.05,0.19793956043956043
South,B,129,13.94,0.10806201550387597
South,C,158,54.01,0.3418354430379747
North,B,212,30.98,0.14613207547169813
South,A,368,101.92,0.27695652173913043
North,A,388,167.54,0.4318041237113402
West,C,216,91.82,0.4250925925925926
East,B,132,35.03,0.2653787878787879
North,B,135,30.97,0.2294074074074074
East,B,101,41.97,0.4155445544554455
North,C,470,108.64,0.23114893617021276
North,B,340,60.8,0.1788235294117647
South,C,477,108.75,0.2279874213836478
North,A,81,13.6,0.16790123456790124
North,C,214,54.21,0.2533177570093458
East,B,439,89.19,0.20316628701594533
West,C,383,161.99,0.42295039164490866
South,A,60,13.6,0.22666666666666666
South,C,157,66.01,0.4204458598726115
North,C,454,114.18,0.2514977973568282
East,A,167,35.08,0.21005988023952094
South,B,94,45.59,0.48500000000000004
West,C,473,70.14,0.1482875264270613
North,B,160,68.64,0.429
West,A,134,42.59,0.3178358208955224
North,C,375,85.66,0.22842666666666667
North,B,431,62.28,0.14450116009280742
West,B,122,44.71,0.3664754098360656
North,A,480,188.27,0.3922291666666667
South,B,51,22.4,0.4392156862745098
East,B,181,41.83,0.2311049723756906
North,B,208,102.28,0.49173076923076925
West,A,186,18.85,0.10134408602150538
East,C,452,221.41,0.48984513274336283
East,C,280,119.83,0.4279642857142857
South,A,58,11.7,0.20172413793103447
South,C,94,22.7,0.24148936170212765
South,B,185,73.46,0.39708108108108103
West,B,364,174.24,0.4786813186813187
East,A,383,99.55,0.25992167101827673
South,A,184,77.57,0.4215760869565217
West,B,316,135.27,0.4280696202531646
North,C,332,65.63,0.19768072289156624
West,B,140,29.9,0.21357142857142855
South,B,274,60.04,0.21912408759124088
East,A,111,13.82,0.12450450450450451
North,B,301,109.98,0.36538205980066446
East,C,116,16.9,0.14568965517241378
South,C,297,77.56,0.2611447811447812
West,B,211,62.63,0.29682464454976304
North,B,288,70.63,0.24524305555555553
West,B,482,144.58,0.2999585062240664
North,C,473,80.79,0.17080338266384779
North,C,266,106.71,0.40116541353383456
South,B,453,217.42,0.4799558498896247
West,A,469,143.16,0.3052452025586354
East,A,141,20.58,0.14595744680851064
West,C,382,132.01,0.3455759162303665
South,B,53,16.74,0.31584905660377355
North,A,230,97.85,0.4254347826086956
East,A,463,177.02,0.3823326133909287
North,B,231,66.16,0.2864069264069264
North,C,227,43.89,0.19334801762114537
East,B,375,136.73,0.3646133333333333
West,A,114,33.96,0.29789473684210527
West,C,159,72.91,0.45855345911949685
North,B,131,60.3,0.46030534351145036
East,A,406,43.31,0.10667487684729064
East,B,302,47.71,0.15798013245033113
South,B,452,153.72,0.34008849557522125
South,C,181,39.91,0.22049723756906076
West,B,305,146.83,0.4814098360655738
West,A,315,152.09,0.4828253968253968
West,C,234,75.5,0.32264957264957267
East,C,156,16.47,0.10557692307692307
North,B,108,17.66,0.1635185185185185
West,C,313,39.41,0.1259105431309904
South,C,280,48.68,0.17385714285714285
East,A,461,157.68,0.34203904555314535
North,A,494,195.16,0.39506072874493925
East,C,487,171.93,0.35303901437371665
South,C,402,62.34,0.15507462686567164
West,A,397,81.41,0.20506297229219142
North,C,435,177.38,0.40777011494252874
West,C,480,198.43,0.41339583333333335
West,C,199,94.97,0.47723618090452263
West,C,164,78.71,0.4799390243902439
West,B,351,101.75,0.2898860398860399
North,A,84,29.43,0.35035714285714287
West,C,389,124.54,0.32015424164524425
East,A,259,92.26,0.35621621621621624
West,A,472,58.07,0.12302966101694915
East,A,256,111.67,0.4362109375
South,B,410,46.65,0.11378048780487804
West,B,395,166.48,0.4214683544303797
West,B,50,11.91,0.2382
North,B,460,163.93,0.3563695652173913
East,C,220,27.56,0.12527272727272726
North,A,170,53.7,0.3158823529411765
South,B,246,115.6,0.46991869918699186
West,A,83,26.1,0.3144578313253012
North,C,373,140.52,0.37672922252010727
West,C,116,12.17,0.10491379310344827
East,A,263,35.38,0.13452471482889736
North,A,107,26.62,0.24878504672897198
East,A,239,36.25,0.151673640167364
South,A,321,124.73,0.38856697819314645
West,B,340,67.54,0.19864705882352943
West,B,252,53.35,0.2117063492063492
West,B,340,101.08,0.2972941176470588
East,C,342,138.12,0.40385964912280703
East,B,210,33.51,0.15957142857142856
West,B,456,138.56,0.303859649122807
West,C,295,57.62,0.19532203389830508
East,C,68,27.3,0.40147058823529413
South,B,192,75.74,0.39447916666666666
West,C,112,49.7,0.44375000000000003
South,B,345,65.47,0.18976811594202897
East,B,77,32.29,0.41935064935064936
West,B,368,93.02,0.25277173913043477
West,A,291,62.77,0.2157044673539519
West,A,407,123.08,0.3024078624078624
East,C,444,44.44,0.10009009009009008
West,B,215,34.12,0.15869767441860463
West,A,66,14.87,0.22530303030303028
South,B,75,30.6,0.40800000000000003
West,A,122,58.14,0.47655737704918033
West,B,254,57.65,0.22696850393700788
West,B,456,117.42,0.2575
East,B,455,220.91,0.4855164835164835
South,A,466,226.65,0.48637339055793993
East,C,220,60.86,0.2766363636363636
South,C,335,116.85,0.34880597014925374
North,C,109,40.45,0.37110091743119267
South,A,397,110.98,0.2795465994962217
East,C,316,84.05,0.2659810126582278
East,B,334,76.69,0.22961077844311376
South,A,99,18.84,0.1903030303030303
South,B,180,56.05,0.3113888888888889
North,A,390,43.26,0.11092307692307692
West,C,348,164.01,0.47129310344827585
South,A,216,100.93,0.4672685185185185
North,B,355,168.73,0.4752957746478873
East,B,344,55.14,0.16029069767441861
East,B,382,92.21,0.2413874345549738
North,A,271,123.72,0.4565313653136531
West,A,414,85.76,0.2071497584541063
South,C,60,12.73,0.21216666666666667
East,A,297,93.12,0.31353535353535356
West,B,343,78.42,0.22862973760932945
North,C,235,50.4,0.21446808510638296
West,C,332,89.25,0.2688253012048193
South,C,236,117.64,0.49847457627118646
North,A,171,60.13,0.3516374269005848
South,B,180,70.73,0.3929444444444445
North,A,124,56.77,0.4578225806451613
North,C,146,65.7,0.45
North,A,468,85.21,0.18207264957264957
South,C,126,47.95,0.3805555555555556
West,A,53,19.25,0.3632075471698113
East,C,115,13.4,0.11652173913043479
South,C,362,151.41,0.4182596685082873
South,A,116,48.44,0.4175862068965517
South,A,237,56.64,0.2389873417721519
South,B,52,20.09,0.38634615384615384
West,B,321,117.71,0.36669781931464174
East,B,485,63.45,0.13082474226804125
North,C,395,193.27,0.4892911392405064
South,A,489,106.13,0.21703476482617587
North,B,390,103.02,0.26415384615384613
West,A,145,63.37,0.43703448275862067
South,A,395,57.26,0.1449620253164557
East,A,492,103.04,0.2094308943089431
West,A,297,93.29,0.3141077441077441
South,C,386,108.0,0.27979274611398963
South,A,318,118.65,0.3731132075471698
South,C,476,109.4,0.22983193277310926
South,C,336,49.12,0.14619047619047618
North,B,74,14.68,0.19837837837837838
West,A,301,32.79,0.10893687707641196
East,A,238,108.73,0.45684873949579835
South,A,333,136.19,0.40897897897897895
East,A,463,82.43,0.1780345572354212
South,A,172,43.93,0.25540697674418605
West,B,302,138.35,0.45811258278145695
East,B,78,19.08,0.2446153846153846
North,C,107,36.88,0.3446728971962617
North,C,170,72.86,0.42858823529411766
South,C,124,50.52,0.4074193548387097
North,B,141,45.66,0.32382978723404254
West,A,149,61.46,0.41248322147651006
West,B,260,37.67,0.1448846153846154
West,C,185,78.45,0.42405405405405405
East,C,373,126.33,0.338686327077748
East,B,129,54.93,0.4258139534883721
South,B,364,119.34,0.32785714285714285
East,A,468,164.59,0.3516880341880342
South,C,496,56.76,0.11443548387096773
North,C,462,132.18,0.28610389610389614
East,A,219,38.38,0.17525114155251142
West,A,249,39.6,0.15903614457831325
East,C,309,103.72,0.33566343042071195
South,A,111,29.04,0.2616216216216216
East,C,68,8.3,0.12205882352941178
East,B,59,11.17,0.18932203389830507
East,C,235,26.44,0.11251063829787235
West,B,140,16.87,0.12050000000000001
West,B,99,41.39,0.4180808080808081
South,C,300,65.22,0.2174
West,C,182,85.82,0.4715384615384615
West,C,317,86.87,0.2740378548895899
West,B,337,144.4,0.428486646884273
West,C,294,45.33,0.15418367346938774
South,B,219,22.83,0.10424657534246574
East,A,355,70.4,0.1983098591549296
South,C,467,146.66,0.3140471092077088
West,C,123,33.36,0.27121951219512197
North,A,128,30.29,0.236640625
East,C,101,15.58,0.15425742574257426
East,B,422,177.5,0.4206161137440758
South,B,125,51.29,0.41032
East,C,271,82.48,0.30435424354243545
North,B,137,39.09,0.2853284671532847
West,B,171,84.26,0.49274853801169594
North,A,395,110.47,0.27967088607594937
East,A,120,36.73,0.3060833333333333
East,A,90,20.16,0.224
East,B,154,44.61,0.2896753246753247
South,A,298,60.49,0.20298657718120805
South,B,222,99.08,0.4463063063063063
North,B,325,110.13,0.33886153846153844
East,B,213,62.92,0.29539906103286384
North,C,334,140.56,0.4208383233532934
West,B,465,226.78,0.4876989247311828
West,A,464,152.33,0.32829741379310345
East,C,428,83.97,0.19619158878504672
South,C,114,13.91,0.12201754385964912
North,C,344,129.01,0.3750290697674418
South,B,338,117.9,0.3488165680473373
South,C,295,53.44,0.18115254237288134
North,C,292,106.21,0.36373287671232873
North,A,288,128.2,0.44513888888888886
West,B,159,68.21,0.42899371069182385
South,B,219,55.61,0.2539269406392694
East,B,312,71.42,0.22891025641025642
South,C,287,120.61,0.4202439024390244
West,C,496,227.49,0.4586491935483871
East,A,431,63.65,0.14767981438515082
South,B,170,58.02,0.34129411764705886
South,C,88,21.41,0.24329545454545454
West,B,169,59.93,0.3546153846153846
North,B,407,42.24,0.10378378378378379
North,B,85,28.61,0.33658823529411763
East,A,335,38.3,0.11432835820895522
East,A,223,57.07,0.25591928251121077
West,B,282,44.87,0.15911347517730495
West,A,439,134.05,0.30535307517084287
North,C,103,50.0,0.4854368932038835
North,B,127,36.9,0.29055118110236217
East,B,106,21.4,0.20188679245283017
South,B,394,110.01,0.27921319796954314
South,A,175,49.02,0.2801142857142857
South,B,166,30.36,0.18289156626506023
West,A,55,9.7,0.17636363636363636
North,A,392,120.4,0.30714285714285716
South,A,73,31.1,0.426027397260274
North,B,94,46.88,0.4987234042553192
East,A,251,31.82,0.12677290836653388
East,A,410,187.94,0.45839024390243904
North,B,495,69.57,0.14054545454545453
West,A,326,65.48,0.20085889570552148
South,A,51,21.6,0.42352941176470593
West,A,141,34.44,0.24425531914893617
South,A,57,17.25,0.3026315789473684
South,B,90,10.17,0.113
West,C,469,208.35,0.44424307036247335
East,A,307,48.93,0.1593811074918567
South,B,88,39.98,0.4543181818181818
West,B,97,43.48,0.44824742268041234
North,B,360,48.94,0.13594444444444445
East,B,469,224.38,0.47842217484008526
West,A,136,25.23,0.18551470588235294
South,A,423,51.34,0.121371158392435
North,B,258,124.04,0.48077519379844963
West,B,460,53.99,0.11736956521739131
North,C,205,83.61,0.40785365853658534
West,A,364,42.21,0.11596153846153846
North,C,342,48.35,0.14137426900584796
North,B,449,106.21,0.2365478841870824
West,A,349,167.49,0.4799140401146132
South,B,273,74.04,0.2712087912087912
West,C,165,20.25,0.12272727272727273
West,C,446,128.88,0.28896860986547085
West,C,108,28.59,0.26472222222222225
North,B,197,64.56,0.32771573604060916
East,A,466,175.06,0.37566523605150215
North,C,190,51.94,0.2733684210526316
North,A,59,21.34,0.3616949152542373
West,B,195,50.57,0.25933333333333336
East,A,487,74.39,0.15275154004106775
South,C,278,76.39,0.2747841726618705
South,B,476,71.8,0.15084033613445377
East,A,98,12.75,0.13010204081632654
North,B,201,36.98,0.18398009950248756
West,A,298,119.29,0.4003020134228188
East,B,434,71.98,0.165852534562212
South,B,427,201.48,0.4718501170960187
East,C,70,14.49,0.207
West,A,211,54.69,0.2591943127962085
East,A,105,32.55,0.31
North,C,345,99.37,0.28802898550724637
West,A,200,96.81,0.48405000000000004
North,B,317,90.02,0.28397476340694006
North,B,274,81.97,0.29916058394160583
East,C,75,31.11,0.4148
North,B,483,214.02,0.4431055900621118
East,B,415,76.66,0.18472289156626506
West,A,248,69.32,0.27951612903225803
East,B,403,173.12,0.42957816377171215
West,C,181,84.56,0.467182320441989
East,A,300,129.86,0.43286666666666673
East,B,191,79.91,0.41837696335078534
East,A,192,83.76,0.43625
North,C,221,99.07,0.44828054298642533
West,B,111,18.69,0.16837837837837838
East,A,488,143.88,0.29483606557377046
North,C,62,21.73,0.3504838709677419
East,C,204,30.26,0.14833333333333334
North,A,446,133.24,0.2987443946188341
West,C,353,158.96,0.4503116147308782
North,B,103,26.91,0.2612621359223301
South,B,239,73.85,0.3089958158995816
North,A,423,155.6,0.36784869976359336
South,C,413,51.92,0.12571428571428572
East,B,156,35.51,0.2276282051282051
South,C,352,80.67,0.22917613636363637
West,B,234,67.86,0.29
South,C,248,41.82,0.16862903225806453
North,A,224,62.38,0.27848214285714284
West,A,254,73.41,0.28901574803149604
East,C,292,71.96,0.24643835616438353
South,C,92,21.19,0.23032608695652176
North,A,358,49.79,0.1390782122905028
West,C,83,34.07,0.41048192771084335
North,A,291,81.23,0.2791408934707904
North,B,496,204.82,0.41294354838709674
East,A,222,38.44,0.17315315315315313
South,C,352,160.04,0.4546590909090909
South,A,185,51.2,0.27675675675675676
West,B,171,68.22,0.3989473684210526
East,B,66,23.69,0.35893939393939395
North,B,473,127.67,0.2699154334038055
West,C,254,37.62,0.14811023622047242
East,B,196,30.43,0.15525510204081633
West,B,415,128.69,0.3100963855421687
West,A,338,76.9,0.2275147928994083
West,C,491,137.93,0.2809164969450102
South,B,278,90.17,0.32435251798561154
West,B,61,15.06,0.24688524590163935
East,B,478,104.78,0.2192050209205021
West,A,361,175.68,0.4866481994459834
North,B,226,77.16,0.3414159292035398
North,B,75,10.88,0.14506666666666668
South,C,115,53.84,0.4681739130434783
West,B,311,105.15,0.33810289389067527
South,C,224,109.55,0.4890625
South,B,267,32.89,0.12318352059925095
South,C,359,162.59,0.4528969359331476
South,A,456,202.36,0.44377192982456143
South,C,346,48.13,0.1391040462427746
South,B,423,114.12,0.2697872340425532
West,B,341,165.42,0.48510263929618763
East,C,304,93.6,0.3078947368421052
North,C,393,75.98,0.19333333333333336
South,A,379,183.69,0.4846701846965699
South,B,173,56.3,0.32543352601156067
East,B,296,90.8,0.30675675675675673
South,A,494,143.32,0.29012145748987855
South,C,214,45.2,0.21121495327102804
North,A,376,74.2,0.19734042553191491
South,B,76,25.33,0.3332894736842105
South,A,210,100.72,0.4796190476190476
East,A,475,235.66,0.4961263157894737
South,B,130,35.09,0.26992307692307693
East,B,354,54.97,0.1552824858757062
South,C,426,77.42,0.18173708920187795
West,C,381,79.72,0.20923884514435695
West,C,289,110.74,0.3831833910034602
West,B,193,88.28,0.4574093264248705
North,C,149,62.03,0.41630872483221476
East,A,414,122.98,0.2970531400966184
West,C,299,63.74,0.21317725752508362
West,B,304,57.33,0.18858552631578948
South,C,276,108.26,0.39224637681159424
East,A,143,48.93,0.34216783216783214
North,A,313,31.31,0.10003194888178914
West,C,425,175.12,0.41204705882352943
West,A,51,20.24,0.3968627450980392
South,B,289,61.48,0.21273356401384083
South,C,150,16.29,0.10859999999999999
East,A,458,67.49,0.14735807860262007
North,A,428,154.66,0.3613551401869159
East,A,377,91.34,0.24228116710875333
West,B,213,81.97,0.3848356807511737
South,A,245,56.07,0.22885714285714287
South,C,325,42.22,0.1299076923076923
North,A,364,71.18,0.19554945054945058
South,C,348,158.75,0.4561781609195402
South,C,361,74.13,0.20534626038781162
North,C,224,95.01,0.42415178571428575
East,C,117,53.83,0.46008547008547007
North,A,432,132.69,0.3071527777777778
North,A,458,163.12,0.3561572052401747
North,A,307,108.53,0.35351791530944626
South,C,334,48.22,0.14437125748502994
West,C,193,50.98,0.26414507772020723
South,B,428,42.98,0.10042056074766355
North,B,176,18.2,0.10340909090909091
East,C,185,20.7,0.11189189189189189
North,C,308,141.18,0.4583766233766234
North,C,442,131.73,0.29803167420814475
East,B,463,132.63,0.2864578833693304
South,C,154,71.87,0.4666883116883117
South,B,330,39.74,0.12042424242424243
South,A,437,187.02,0.4279633867276888
West,A,161,24.87,0.154472049689441
South,A,426,148.49,0.3485680751173709
West,C,174,18.8,0.10804597701149425
East,C,60,17.81,0.29683333333333334
North,A,54,26.53,0.49129629629629634
North,A,357,154.14,0.4317647058823529
East,C,365,144.06,0.3946849315068493
East,C,428,111.17,0.2597429906542056
West,C,125,23.86,0.19088
West,A,419,110.1,0.26276849642004774
East,A,404,59.79,0.1479950495049505
East,A,108,12.01,0.11120370370370371
North,C,333,61.29,0.18405405405405406
West,C,295,126.47,0.42871186440677966
South,B,266,65.22,0.24518796992481204
East,C,339,97.48,0.28755162241887905
East,A,341,148.67,0.43598240469208205
South,A,85,11.77,0.13847058823529412
South,B,281,69.57,0.2475800711743772
West,C,316,85.66,0.2710759493670886
North,C,496,145.4,0.2931451612903226
North,A,479,96.03,0.20048016701461377
West,C,281,61.23,0.2179003558718861
South,A,208,63.13,0.3035096153846154
East,A,344,93.23,0.2710174418604651
North,B,434,130.52,0.30073732718894014
South,B,207,47.73,0.2305797101449275
South,B,172,31.26,0.18174418604651163
West,B,335,82.04,0.24489552238805973
West,A,144,61.03,0.42381944444444447
